Source.Name,ITEM_NAME,ITEM_DESC,ITEM_PRICE
3-Streifen,Chicken Supreme Sandwich Animal Style Menu with Lemonade,"Chicken Supreme Sandwich Animal Style Menu with Lemonadewith pulled chicken, cheese sauce, tomatoes, brazil sauce, chili sauce, lettuce and a poutine of your choice  €15.95",15.95
3-Streifen,Meat on Meat Sandwich Animal Style Menu with Lemonade,"Meat on Meat Sandwich Animal Style Menu with Lemonadewith beef sausage strips, sucuk slices, cheese sauce, ketchup, mayonnaise, fried onions, pickles, tomatoes and a poutine of your choice  €15.95",15.95
3-Streifen,Green Garden Sandwich Animal Style Menu with Lemonade,"Green Garden Sandwich Animal Style Menu with Lemonadeveggie
with onion rings, mozzarella, Miami sauce, cherry mayonnaise, lettuce, tomatoes and a poutine of your choice  €15.95",15.95
3-Streifen,Crispy Gold Sandwich Animal Style Menu with Lemonade,"Crispy Gold Sandwich Animal Style Menu with Lemonadewith kibbeling, cheese sauce, tartar sauce, mayonnaise, lettuce, pickles, onions and a poutine of your choice  €15.95",15.95
3-Streifen,Chief Beef Sandwich,"Chief Beef Sandwich150 g
with beef patty, caramelized onions, pastrami, BBQ sauce, lettuce and pickles   €8.95",8.95
3-Streifen,Chicken Supreme Sandwich,"Chicken Supreme Sandwichspicy
with pulled chicken, cheese sauce, tomatoes, brazil sauce, chili sauce and lettuce  €7.95  Popular",7.95
3-Streifen,Meat on Meat Sandwich,"Meat on Meat Sandwich with beef sausage strips, sucuk slices, cheese sauce, ketchup, mayonnaise, fried onions, pickles and tomatoes   €7.95",7.95
3-Streifen,Green Garden Sandwich,"Green Garden Sandwichveggie
with onion rings, mozzarella, Miami sauce, chutney mayonnaise, lettuce and tomatoes  €7.95",7.95
3-Streifen,Crispy Gold Sandwich,"Crispy Gold Sandwichwith kibbeling, cheese sauce, tartar sauce, mayonnaise, lettuce, pickles and onions  €7.95",7.95
3-Streifen,Low Carb Chicken Supreme,Low Carb Chicken Supreme  €7.95,7.95
3-Streifen,Low Carb Beef,Low Carb Beef  €8.95,8.95
3-Streifen,Low Carb Fish Crispy Gold,Low Carb Fish Crispy Gold  €7.95,7.95
3-Streifen,Low Carb Veggie Green Garden,Low Carb Veggie Green Garden  €7.95,7.95
3-Streifen,Poutine C.C.C,Poutine C.C.Cfries with pulled chicken and cheese sauce  €7.95  Popular,7.95
3-Streifen,Poutine Saté Amsterdam,Poutine Saté Amsterdam  €7.95,7.95
3-Streifen,Poutine Flurry Curry,"Poutine Flurry Curryfries with sucuk, beef sausage, curry sauce and cheese sauce  €7.95",7.95
3-Streifen,Poutine Fish n Chips,Poutine Fish n Chipsfries with kibbiling and fried onions   €7.95,7.95
3-Streifen,Kibblinge,Kibblinge  €3.95,3.95
3-Streifen,Onion Rings,Onion Rings  €3.45,3.45
3-Streifen,Cole Slaw,Cole Slaw  €2.95,2.95
3-Streifen,French fries,French fries  €2.95,2.95
3-Streifen,Kids Menu,"Kids Menu with kibbeling, french fries and Capri sun  €7.95",7.95
3-Streifen,"Vio Still 0,25l  ","Vio Still 0,25l   incl. 0,15  € deposit, 8,00  €/L    €2.95",2.95
3-Streifen,"Apollinaris Selection 0,25l  ","Apollinaris Selection 0,25l   inclusive 0,15  € deposit, 8,00  €/L    €2.95",2.95
3-Streifen,"Coca-Cola® 0,33l","Coca-Cola® 0,33l  contains caffeine 10,0 mg/100ml, incl. 0,15  € deposit, 8,94  €/L    €2.95",2.95
3-Streifen,"Coca-Cola® Zero 0,33l","Coca-Cola® Zero 0,33l  contains caffeine 10,0 mg/100ml, incl. 0,15  € deposit, 8,94  €/L    €2.95",2.95
3-Streifen,"Mezzo Mix 0,33l","Mezzo Mix 0,33l  contains caffeine 6,0 mg/100ml, incl. 0,15  € deposit, 8,94  €/L    €2.95",2.95
3-Streifen,"Fanta 0,33l","Fanta 0,33l   inclusive 0,15  € deposit, 8,94  €/L    €2.95",2.95
3-Streifen,"Sprite 0,33l","Sprite 0,33l   inclusive 0,15  € deposit, 8,94  €/L    €2.95",2.95
3-Streifen,"Elephant Bay Blueberry 0,33l","Elephant Bay Blueberry 0,33l   inclusive 0,15  € deposit, 0,00  €/L    €0.00",0.0
3-Streifen,"Elephant Bay Pomegranate 0,33l","Elephant Bay Pomegranate 0,33l   inclusive 0,15  € deposit, 8,94  €/L    €2.95",2.95
3-Streifen,"Elephant Bay Peach 0,33l","Elephant Bay Peach 0,33l   inclusive 0,15  € deposit, 8,94  €/L    €2.95",2.95
3-Streifen,"Elephant Bay Melon 0,33l","Elephant Bay Melon 0,33l   inclusive 0,15  € deposit, 8,94  €/L    €2.95",2.95
3-Streifen,"Elephant Bay Mango Pineapple 0,33l","Elephant Bay Mango Pineapple 0,33l   inclusive 0,15  € deposit, 8,94  €/L    €2.95",2.95
3-Streifen,"Elephant Bay Lemon 0,33l","Elephant Bay Lemon 0,33l   inclusive 0,15  € deposit, 8,94  €/L    €2.95",2.95
3-Streifen,"Elephant Bay Raspberry 0,33l","Elephant Bay Raspberry 0,33l   inclusive 0,15  € deposit, 8,94  €/L    €2.95",2.95
3-Streifen,"Elephant Bay Rose Water 0,33l","Elephant Bay Rose Water 0,33l   inclusive 0,15  € deposit, 8,94  €/L    €2.95",2.95
Alla Vita,Arancini,Arancinirice balls with cheese and an ingredient of your choice  €2.90,2.9
Alla Vita,Porcini Mushroom Soup,Porcini Mushroom Soup  €6.90,6.9
Alla Vita,Tomatosoup,Tomatosoup  €6.90,6.9
Alla Vita,Caprese,"Capresewith Mozzarella, tomatoes and basil  €8.90",8.9
Alla Vita,Seefood Salad,"Seefood Salad with pickled seafood, garlic, chili, olive oil and parsley  €8.90  Popular",8.9
Alla Vita,Focaccia Parma,"Focaccia Parma with Parma ham, Parmesan, balsamic vinegar, rocket and olive oil  €4.90",4.9
Alla Vita,Focaccia Sportiva,"Focaccia Sportiva with Mozzarella, tomatoes, rocket and pesto  €4.90",4.9
Alla Vita,Focaccia Bresaola,"Focaccia Bresaola with Parmesan, rocket, bresaola and olive oil with lemon  €4.90",4.9
Alla Vita,Focaccia Capretta,"Focaccia Capretta with rocket, chopped walnuts, honey and goat cheese  €4.90",4.9
Alla Vita,Focaccia Salsiccia,"Focaccia Salsiccia with salsiccia, spicy salami, Romaine lettuce, tomatoes and olive oil  €4.90",4.9
Alla Vita,Focaccia Tonno,"Focaccia Tonno with or without ham, Mozzarella, tomatoes and tuna  €5.90",5.9
Alla Vita,Focaccia Tartufo,"Focaccia Tartufo with truffle salami, truffle cheese, tomatoes and truffle oil  €8.90  Popular",8.9
Alla Vita,Pasta with Sugo alla Siciliana,Pasta with Sugo alla Siciliana  €8.00  Popular,8.0
Alla Vita,Pasta with Frutti di Mare and a Sauce of Your Choice,"Pasta with Frutti di Mare and a Sauce of Your Choicewith pickled seafood, garlic, herbs, chili, lemon oil and parsley  €8.00",8.0
Alla Vita,Pasta with Sugo con Salsiccia,Pasta with Sugo con Salsiccia  €9.00,9.0
Alla Vita,Pasta mit Aglio all'Olio,Pasta mit Aglio all'Olio  €10.00  Popular,10.0
Alla Vita,Pasta with Carbonara Sauce,Pasta with Carbonara Sauce  €13.00  Popular,13.0
Alla Vita,Pasta with Pistachio Cream Sauce,Pasta with Pistachio Cream Saucewith or without bacon  €15.90,15.9
Alla Vita,Pasta with Frutti di Mare and Truffle of Your Choice,"Pasta with Frutti di Mare and Truffle of Your Choicewith pickled seafood, garlic, herbs, chili, lemon oil and parsley  €25.00",25.0
Alla Vita,Mixed Ravioli,"Mixed Ravioli4 pieces
with butter herb parmesan sauce  €8.00",8.0
Alla Vita,Ravioli with Ricotta and Spinach,Ravioli with Ricotta and Spinach4 pieces  €8.00,8.0
Alla Vita,Ravioli with Ricotta and Lemon,Ravioli with Ricotta and Lemon5 pieces  €8.00,8.0
Alla Vita,Ravioli with Porcini Mushrooms,Ravioli with Porcini Mushrooms4 pieces  €8.00,8.0
Alla Vita,"Ravioli with Ricotta, Lemon and Prawns","Ravioli with Ricotta, Lemon and Prawns6 pieces
with pickled, fried prawns  €15.00",15.0
Alla Vita,Unfilled Gnocchi,Unfilled Gnocchi with butter herb parmesan sauce  €8.00,8.0
Alla Vita,Gnocchi with Porcini Mushrooms,Gnocchi with Porcini Mushrooms  €8.00,8.0
Alla Vita,Gnocchi with Cheese,Gnocchi with Cheese  €8.00,8.0
Alla Vita,Gnocchi with Rocket,Gnocchi with Rocket  €10.00,10.0
Alla Vita,Gnocchi with Porcini Mushroom Filling,Gnocchi with Porcini Mushroom Fillingwith dried tomatoes in sauce and Mozzarella  €15.90,15.9
Alla Vita,Gnocchi with Porcini Mushroom Cream Sauce,Gnocchi with Porcini Mushroom Cream Saucewith cocktail tomatoes  €15.90,15.9
Alla Vita,"Acqua Morelli Still 0,25l  ","Acqua Morelli Still 0,25l   inclusive 0,15  € deposit, 10,00  €/L    €2.50",2.5
Alla Vita,"Acqua Morelli Still 0,75l  ","Acqua Morelli Still 0,75l   inclusive 0,15  € deposit, 6,53  €/L    €4.90",4.9
Alla Vita,"Acqua Morelli Sparkling 0,25l  ","Acqua Morelli Sparkling 0,25l   inclusive 0,15  € deposit, 10,00  €/L  
  €2.50",2.5
Alla Vita,"Acqua Morelli Sparkling 0,75l  ","Acqua Morelli Sparkling 0,75l   inclusive 0,15  € deposit, 6,53  €/L    €4.90",4.9
Alla Vita,"Coca-Cola® 0,33l","Coca-Cola® 0,33l  contains caffeine 10,0 mg/100ml, incl. 0,15  € deposit, 6,06  €/L    €2.00",2.0
Alla Vita,"Coca-Cola® Light 0,33l","Coca-Cola® Light 0,33l  contains caffeine 12,0 mg/100ml, incl. 0,15  € deposit, 6,06  €/L    €2.00",2.0
Alla Vita,"Coca-Cola® Zero 0,33l","Coca-Cola® Zero 0,33l  contains caffeine 10,0 mg/100ml, incl. 0,15  € deposit, 6,06  €/L    €2.00",2.0
Alla Vita,"Fanta 0,33l","Fanta 0,33l   inclusive 0,15  € deposit, 6,06  €/L    €2.00",2.0
Alla Vita,"Sprite 0,33l","Sprite 0,33l   inclusive 0,15  € deposit, 6,06  €/L    €2.00",2.0
Alla Vita,"Mezzo Mix 0,33l","Mezzo Mix 0,33l  contains caffeine 6,0 mg/100ml, incl. 0,15  € deposit, 6,06  €/L    €2.00",2.0
Alla Vita,"Lemon Soda 0,33l","Lemon Soda 0,33l   inclusive 0,25  € deposit, 6,06  €/L    €2.00",2.0
Alla Vita,"Oransoda 0,33l","Oransoda 0,33l   inclusive 0,25  € deposit, 6,06  €/L  
  €2.00",2.0
Alla Vita,"San Pellegrino Aranciata 0,2l","San Pellegrino Aranciata 0,2l   inclusive 0,15  € deposit, 10,00  €/L    €2.00",2.0
Alla Vita,"San Pellegrino Limonata 0,2l","San Pellegrino Limonata 0,2l   inclusive 0,15  € deposit, 10,00  €/L    €2.00",2.0
Alla Vita,"San Pellegrino Chinotto 0,2l","San Pellegrino Chinotto 0,2l   inclusive 0,15  € deposit, 10,00  €/L    €2.00",2.0
Alla Vita,"San Pellegrino Sanbitter 0,1l","San Pellegrino Sanbitter 0,1l inclusive 0,15  € deposit, 25,00  €/L    €2.50",2.5
Alla Vita,"Goldberg Tonic Water 0,2l","Goldberg Tonic Water 0,2l   inclusive 0,15  € deposit, 12,50  €/L    €2.50",2.5
Alla Vita,"Goldberg Bitter Lemon 0,2l","Goldberg Bitter Lemon 0,2l   inclusive 0,15  € deposit, 12,50  €/L     €2.50",2.5
Alla Vita,"Goldberg Ginger Ale 0,2l","Goldberg Ginger Ale 0,2l   inclusive 0,15  € deposit, 12,50  €/L     €2.50",2.5
Alla Vita,"San Pellegrino Crodino 0,1l","San Pellegrino Crodino 0,1l inclusive 0,15  € deposit, 25,00  €/L    €2.50",2.5
Alla Vita,"Gasoline for Humans Energy Drink 0,25l  ","Gasoline for Humans Energy Drink 0,25l   inclusive 0,25  € deposit, 10,00  €/L    €2.50",2.5
Alla Vita,"Rapp's Apple Juice 0,2l","Rapp's Apple Juice 0,2l   inclusive 0,15  € deposit, 10,00  €/L    €2.00",2.0
Alla Vita,"Rapp's Apple Spritzer 0,2l","Rapp's Apple Spritzer 0,2l   inclusive 0,15  € deposit, 10,00  €/L    €2.00",2.0
Alla Vita,"Rapp's Orange Juice 0,2l","Rapp's Orange Juice 0,2l   inclusive 0,15  € deposit, 10,00  €/L    €2.00",2.0
Alla Vita,"Beck's Blue Non-Alcoholic 0,33l","Beck's Blue Non-Alcoholic 0,33l   inclusive 0,08  € deposit, 9,09  €/L  
  €3.00",3.0
Alla Vita,"Nastro Azzurro 0,33l","Nastro Azzurro 0,33l  5,1%VOL, incl. 0,08  € deposit, 9,09  €/L  
  €3.00",3.0
Alla Vita,"Birra Moretti Radler 0,33l","Birra Moretti Radler 0,33l  2,0%VOL, incl. 0,08  € deposit, 10,61  €/L    €3.50",3.5
Alla Vita,"Beck's 0,33l","Beck's 0,33l  4,9%VOL, incl. 0,08  € deposit, 9,09  €/L    €3.00",3.0
Alla Vita,"Prosecco Mionetto 0,187ml","Prosecco Mionetto 0,187ml11,0%VOL, 20,86  €/L    €3.90",3.9
Alla Vita,"Cantina Tollo Rocca Ventosa Montepulciano d'Abruzzo 0,75l  ","Cantina Tollo Rocca Ventosa Montepulciano d'Abruzzo 0,75l  13,0%VOL, 13,33  €/L    €10.00",10.0
Alla Vita,"Cantina Tollo  Rocca Ventosa Trebbiano d'Abruzzo 0,75l  ","Cantina Tollo  Rocca Ventosa Trebbiano d'Abruzzo 0,75l  12,0%VOL, 13,33  €/L    €10.00",10.0
Alla Vita,"2019 Regaleali Bianco Sicilia 0,75l  ","2019 Regaleali Bianco Sicilia 0,75l  12,5%VOL, 18,67  €/L  
white wine  €14.00",14.0
Alla Vita,"2020 Regaleali Le Rose 0,75l  ","2020 Regaleali Le Rose 0,75l  13,0%VOL, 18,67  €/L    €14.00",14.0
Alla Vita,"2017 Regaleali Nero d'Avola 0,75l  ","2017 Regaleali Nero d'Avola 0,75l  13,0%VOL, 18,67  €/L  
red wine  €14.00",14.0
Alla Vita,"Mionetto Prosecco Valdobbiadene Superiore DOCG 0,75l  ","Mionetto Prosecco Valdobbiadene Superiore DOCG 0,75l  11,0%VOL, 26,67  €/L    €20.00",20.0
Alla Vita,"2019 Isola Bianca Vernaccia di San Gimignano 0,75l  ","2019 Isola Bianca Vernaccia di San Gimignano 0,75l  12,5%VOL, 33,33  €/L    €25.00",25.0
Alla Vita,"Prosecco Mionetto Rose 0,75l  ","Prosecco Mionetto Rose 0,75l  11,0%VOL, 33,33  €/L    €25.00",25.0
Alla Vita,"2020 Lugana Bulgarini 0,75l  ","2020 Lugana Bulgarini 0,75l  12,5%VOL, 33,33  €/L    €25.00",25.0
Alla Vita,"Moët & Chandon ICE Imperial 0,75l  ","Moët & Chandon ICE Imperial 0,75l  12,0%VOL, 120,00  €/L    €90.00",90.0
Alla Vita,"Dom Perignon Champagner Brut 0,75l  ","Dom Perignon Champagner Brut 0,75l  12,5%VOL, 333,33  €/L    €250.00",250.0
Azalye,Injera with Meat + Fritz Lemonade,"Injera with Meat + Fritz Lemonade with beef, peas, spinach sauce and vegetables, prepared the Ethiopian style  €12.08  €15.08",12.08
Azalye,Avocado-Mango Salad,Avocado-Mango Salad with organic quinoa and homemade sauce  €10.50,10.5
Azalye,Mixed Salad,"Mixed Saladvegan
with tomatoes, cucumber, carrots, apple, mango, oranges, grapes and homemade sauce, served in a size of your choice  €6.90",6.9
Azalye,Lentil Soup,Lentil Soup with ginger and turmeric  €7.50  Popular,7.5
Azalye,Chili con Carne,Chili con Carne  €8.50,8.5
Azalye,Organic Pumpkin Soup,Organic Pumpkin Soup with coconut milk  €7.50,7.5
Azalye,Ethiopian foul,"Ethiopian foul with beans, onions, tomatoes and coriander  €7.50",7.5
Azalye,Injera Vegan,"Injera Vegan with lentils, peas, spinach sauce and vegetables, prepared the Ethiopian style  €9.50  Popular",9.5
Azalye,Injera with Meat,"Injera with Meat with beef, peas, spinach sauce and vegetables, prepared the Ethiopian style  €11.50  Popular",11.5
Azalye,Buddha Bowl,"Buddha Bowlvegetarian or vegan possible
  €8.95  Popular",8.95
Azalye,Buddha Bowl with Beef,Buddha Bowl with Beef  €11.50  Popular,11.5
Azalye,Fried Beef,Fried Beef with rosamarine and tomatoes on a mixed salad  €11.50,11.5
Azalye,Chicken Curry,Chicken Curry with coconut milk and rice  €10.50,10.5
Azalye,Carrot Cake,Carrot Cakevegan  €4.50,4.5
Azalye,Cheesecake,Cheesecake  €5.50,5.5
Azalye,Homemade Almond Cake,Homemade Almond Cake  €5.50,5.5
Azalye,Chocolate Cake,"Chocolate Cake with dates
The dish was made with chocolate and may contain traces of nuts  €5.50",5.5
Azalye,"Organic Ginger Shot 0,2l","Organic Ginger Shot 0,2l  freshly squeezed  €3.50",3.5
Azalye,"Mint Organic Ginger 0,5l  ","Mint Organic Ginger 0,5l  9,80  €/L   
freshly squeezed with lime, fresh mint and agave syrup  €5.90",5.9
Azalye,"Rhubarb Organic Ginger 0,5l  ","Rhubarb Organic Ginger 0,5l  9,80  €/L   
freshly squeezed with lime  €5.90",5.9
Azalye,"Pomegranate Organic Ginger 0,5l  ","Pomegranate Organic Ginger 0,5l  9,80  €/L   
freshly squeezed with lime  €5.90",5.9
Azalye,"Organic Iced Banana Coffee 0,5l  ","Organic Iced Banana Coffee 0,5l  9,80  €/L   
with bananas, coffee with a type of milk of your choice  €5.90",5.9
Azalye,"Squeezed Carrot Juice 0,3l","Squeezed Carrot Juice 0,3l  16,33  €/L     €5.90",5.9
Azalye,"Squeezed Orange Juice 0,3l","Squeezed Orange Juice 0,3l  16,33  €/L     €5.90",5.9
Azalye,"Squeezed Orange & Carrot Juice 0,3l","Squeezed Orange & Carrot Juice 0,3l  16,33  €/L   
mixed with ginger  €5.90",5.9
Azalye,"Hassia Still Mineral Water 0,25l  ","Hassia Still Mineral Water 0,25l   inclusive 0,15  € deposit, 11,60  €/L    €2.90",2.9
Azalye,"Hassia MIneral Water Sparkling 0,25l  ","Hassia MIneral Water Sparkling 0,25l   inclusive 0,15  € deposit, 11,60  €/L    €2.90",2.9
Azalye,"Gerolsteiner Sprudel 0,75l  ","Gerolsteiner Sprudel 0,75l   inclusive 0,15  € deposit, 5,20  €/L    €3.90",3.9
Azalye,"Fritz-Kola Sugarfree 0,33l","Fritz-Kola Sugarfree 0,33l  contains caffeine 25,0 mg/100 ml, incl. 0,08  € deposit, 10,61  €/L    €3.50",3.5
Azalye,"Fritz-Limo Honeydew Melon 0,33l","Fritz-Limo Honeydew Melon 0,33l   inclusive 0,08  € deposit, 10,61  €/L    €3.50",3.5
Azalye,"Fritz-Limo Orange 0,33l","Fritz-Limo Orange 0,33l   inclusive 0,08  € deposit, 10,61  €/L    €3.50",3.5
Azalye,"Fritz-Limo Lemon 0,33l","Fritz-Limo Lemon 0,33l   inclusive 0,08  € deposit, 10,61  €/L    €3.50",3.5
B-Gourmet,VYTAL BOWL,VYTAL BOWLPlease paste your 6-digit VYTAL token as a comment for the restaurant. Only for existing VYTAL users.  €0.00,0.0
B-Gourmet,Tokyo Burger Set,"Tokyo Burger Setwith homemade teriyaki sauce
  €14.50",14.5
B-Gourmet,Tokyo Chicken Set,"Tokyo Chicken Set6 pieces of karaage in our homemade teriyaki sauce
  €13.00",13.0
B-Gourmet,B-Gourmet Chicken,"B-Gourmet Chicken6 pieces
The original B-gourmet taste, delicious deep-fried Karaage in a slightly spicy homemade soy sauce  €7.50",7.5
B-Gourmet,Sesame Street Chicken,"Sesame Street Chicken6 pieces
an incomparable pleasure! Delicious karaage in our homemade sesame sauce  €8.00",8.0
B-Gourmet,Ge-Sha Chicken,"Ge-Sha Chicken6 pieces
Japanese yuzu lemon meets our karaage! Perfect for all gourmets  €8.00",8.0
B-Gourmet,Tokyo Chicken,"Tokyo Chicken6 pieces
karaage in our homemade teriyaki sauce  €8.50",8.5
B-Gourmet,Jojo Chicken,"Jojo Chicken6 pieces
The cold winter days are here and you are cold? With our Jojo Karaage you will sweat 100%! Warning, very hot! Our karaage are inserted 24 hours before preparation for a taste explosion!  €8.50",8.5
B-Gourmet,South Chicken,"South Chicken6 pieces
very tasty Karaage in our homemade soy vinegar sauce with egg tartare  €8.50",8.5
B-Gourmet,Bento Bowl,"A small bento in a bowl. Deep-fried chicken, deep-fried white fish, baked salmon, egg tartar sauce, Japanese omelette and pickled Japanese vegetables.  €10.50",10.5
B-Gourmet,Curry Bowl,"Curry Bowlone of our signature dishes. The vegetables and meat are first braised for 4 hours, then 20 different spices are added to make our curry. After everything has been boiled down for another 8 hours, it rests for a day and is ready to be eaten  €11.50",11.5
B-Gourmet,Katsu Bowl,"A deep-fried Jap. pork cutlet in our homemade soy-onion sauce, mixed with egg  €12.00  Popular",12.0
B-Gourmet,Tokyo Chicken Rice Bowl,"Tokyo Chicken Rice Bowltenderly steamed chicken with rice, in our homemade teriyaki sauce  €12.00",12.0
B-Gourmet,Buta Shogayaki Bowl,thinly sliced ​​pork in a ginger-soy sauce with lots of garlic and a delicious onsen tamago (soft-boiled egg)  €12.00  Popular,12.0
B-Gourmet,Bulgogi Beef Bowl,thinly sliced ​​entrecote meat in a delicious traditional Korean slightly sweet sauce with onions  €12.00,12.0
B-Gourmet,Veggie Bowl,"Veggie BowlKorean style bowl with 5 different vegetables, spinach, soy bean sprouts, radish, carrots, soy strips and zucchini, each in different sauces. Mix well for a taste explosion!  €12.00",12.0
B-Gourmet,B-Gourmet Bowl,"Deep-fried chicken meat which was soaked in a delicious soy-ginger sauce the day before. Finally, it is seasoned in our homemade slightly spicy sauce.  €12.50  Popular",12.5
B-Gourmet,Karaage Curry Bowl,Karaage Curry BowlOur homemade curry with our   Popular karaage.  €13.00  Popular,13.0
B-Gourmet,Tokyo salmon rice bowl,"Tokyo salmon rice bowlbaked salmon with rice, in our homemade teriyaki sauce.
  €14.00  Popular",14.0
B-Gourmet,Entrecote Bowl,juicy entrecote steak in our delicious onion-apple sauce with Japanese pepper and bean sprouts  €14.00,14.0
B-Gourmet,Sashimi Bowl,"Sashimi Bowla sashimi bowl with soft-boiled egg, tuna, salmon, prawns and surimi, seasoned in our homemade sashimi sauce   €14.00",14.0
B-Gourmet,Shrimp Bowl,"Shrimp BowlTempura prawns in our homemade soy-onion sauce, mixed with egg.  €14.00",14.0
B-Gourmet,Katsu Curry Bowl,Katsu Curry BowlOur homemade curry with a jap cutlet.  €14.50,14.5
B-Gourmet,Jojo Chicken Burger,Jojo Chicken Burgerwith very spicy homemade sauce  €9.50,9.5
B-Gourmet,Tokyo Chicken Burger,Tokyo Chicken Burgerwith homemade teriyaki sauce  €9.50,9.5
B-Gourmet,B-Gourmet Chicken Burger,"B-Gourmet Chicken Burgerslightly spicy
with our  Popular B-gourmet sauce  €8.50",8.5
B-Gourmet,Japanese Rice,Japanese Rice  €3.00,3.0
B-Gourmet,Wasabi Fries,"Wasabi Friesspicy
French fries seasoned with wasabi  €5.00",5.0
B-Gourmet,Shiso Fries,French fries with a Japanese shiso-plum seasoning  €5.00,5.0
B-Gourmet,Nori Fries,French fries with seaweed  €5.00,5.0
B-Gourmet,"Selters Classic 0,5l  ","Selters Classic 0,5l   inclusive 0,15  € deposit, 3,60  €/L    €1.80",1.8
B-Gourmet,"Selters Naturell 0,5l  ","Selters Naturell 0,5l   inclusive 0,15  € deposit, 3,60  €/L    €1.80",1.8
B-Gourmet,"Pepsi 0,5l  ","Pepsi 0,5l   inclusive 0,15  € deposit, 5,00  €/L    €2.50",2.5
B-Gourmet,"Pepsi Max 0,5l  ","Pepsi Max 0,5l   inclusive 0,15  € deposit, 5,00  €/L    €2.50",2.5
B-Gourmet,"Mirinda 0,5l  ","Mirinda 0,5l   inclusive 0,15  € deposit, 5,00  €/L    €2.50",2.5
B-Gourmet,"7up 0,5l  ","7up 0,5l   inclusive 0,25  € deposit, 5,00  €/L    €2.50",2.5
B-Gourmet,"Selters Apple Spritzer 0,5l  ","Selters Apple Spritzer 0,5l   inclusive 0,15  € deposit, 5,00  €/L     €2.50",2.5
